地域コード,地域,階層,面積（平方キロメートル）
13000.0,東京都総数,0,2194.03
13100.0,区部,1,627.53
13101.0,千代田区,2,11.66
13102.0,中央区,2,10.21
13103.0,港区,2,20.37
13104.0,新宿区,2,18.22
13105.0,文京区,2,11.29
13106.0,台東区,2,10.11
13107.0,墨田区,2,13.77
13108.0,江東区,2,42.99
13109.0,品川区,2,22.84
13110.0,目黒区,2,14.67
13111.0,大田区,2,61.86
13112.0,世田谷区,2,58.05
13113.0,渋谷区,2,15.11
13114.0,中野区,2,15.59
13115.0,杉並区,2,34.06
13116.0,豊島区,2,13.01
13117.0,北区,2,20.61
13118.0,荒川区,2,10.16
13119.0,板橋区,2,32.22
13120.0,練馬区,2,48.08
13121.0,足立区,2,53.25
13122.0,葛飾区,2,34.8
13123.0,江戸川区,2,49.9
13200.0,市部,1,783.95
13201.0,八王子市,2,186.38
13202.0,立川市,2,24.36
13203.0,武蔵野市,2,10.98
13204.0,三鷹市,2,16.42
13205.0,青梅市,2,103.31
13206.0,府中市,2,29.43
13207.0,昭島市,2,17.34
13208.0,調布市,2,21.58
13209.0,町田市,2,71.55
13210.0,小金井市,2,11.3
13211.0,小平市,2,20.51
13212.0,日野市,2,27.55
13213.0,東村山市,2,17.14
13214.0,国分寺市,2,11.46
13215.0,国立市,2,8.15
13218.0,福生市,2,10.16
13219.0,狛江市,2,6.39
13220.0,東大和市,2,13.42
13221.0,清瀬市,2,10.23
13222.0,東久留米市,2,12.88
13223.0,武蔵村山市,2,15.32
13224.0,多摩市,2,21.01
13225.0,稲城市,2,17.97
13227.0,羽村市,2,9.9
13228.0,あきる野市,2,73.47
13229.0,西東京市,2,15.75
13300.0,郡部,1,375.86
13303.0,瑞穂町,2,16.85
13305.0,日の出町,2,28.07
13307.0,檜原村,2,105.41
13308.0,奥多摩町,2,225.53
13350.0,島部,1,406.69
13361.0,大島町,2,90.76
13362.0,利島村,2,4.12
13363.0,新島村,2,27.54
13364.0,神津島村,2,18.58
13381.0,三宅村,2,55.26
13382.0,御蔵島村,2,20.54
13401.0,八丈町,2,72.23
13402.0,青ヶ島村,2,5.96
13421.0,小笠原村,2,106.88
